s/n,longitude,latitude
1,8.564565,12.01950833
2,8.560175,12.0205217
3,8.564223333,12.02031333
4,8.5642,12.02033
5,8.564213333,12.02050667
6,8.5645417,12.0195133
7,8.565376667,12.01715667
8,8.5625985,12.0234862
9,8.565141667,12.01783667
10,8.5651043,12.0178781
11,8.565171667,12.01784333
12,8.5653576,12.0171515
13,8.56793,12.01706167
14,8.5624222,12.0277835
15,8.567396667,12.01860167
16,8.5673775,12.0185709
17,8.567385,12.01858833
18,8.5679517,12.0170367
19,8.569165,12.013795
20,8.5559479,12.0259964
21,8.568335,12.01610667
22,8.5687783,12.01252
23,8.56887,12.01473333
24,8.5691336,12.0137826
25,8.567483333,12.010245
26,8.5549014,12.0258797
27,8.568833333,12.01468167
28,8.567515,12.0112883
29,8.568798333,12.01257167
30,8.5673188,12.0102603
31,8.567383333,12.00719833
32,8.5548187,12.0216955
33,8.568818333,12.01257833
34,8.567265,12.0080817
35,8.567473333,12.01115333
36,8.5673108,12.007172
37,8.565045,12.006745
38,8.5519985,12.0217983
39,8.567818333,12.01168667
40,8.5673767,12.007242
41,8.567341667,12.00725667
42,8.5649983,12.0067603
43,8.56149,12.00606333
44,8.5511428,12.0199231
45,8.567351667,12.00724
46,8.5663083,12.0069817
47,8.564398333,12.00656167
48,8.5615201,12.0060333
49,8.556973333,12.00752333
50,8.544413,12.0197782
51,8.566573333,12.00705333
52,8.5629667,12.00628
53,8.561865,12.00605667
54,8.5570068,12.0075567
55,8.553273333,12.00795
56,8.54263,12.0097317
57,8.564753333,12.00669333
58,8.5613163,12.0060527
59,8.56031,12.00627333
60,8.5532606,12.0079044
61,8.549201667,12.008515
62,8.5431059,12.0093033
63,8.563335,12.00638333
64,8.5572217,12.0074233
65,8.556463333,12.00776
66,8.5496733,12.0085683
67,8.54742,12.008685
68,8.5574237,12.0072036
69,8.561855,12.00607667
70,8.555985,12.0076717
71,8.55308,12.00793833
72,8.54741,12.0087167
73,8.546248333,12.00883667
74,8.5618311,12.005873
75,8.561141667,12.006085
76,8.5542517,12.007765
77,8.54981,12.00847
78,8.5461699,12.0088692
79,8.545061667,12.00909333
80,8.5658417,12.00674
81,8.560183333,12.00627
82,8.5512367,12.00815
83,8.548281667,12.00851
84,8.5449141,12.0091427
85,8.543093333,12.00945667
86,8.5687645,12.0076752
87,8.557955,12.00714667
88,8.5484,12.0085117
